Fri Nov  9 12:16:50 2018       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 396.44                 Driver Version: 396.44                    |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla K80           On   | 00000000:04:00.0 Off |                    0 |
| N/A   29C    P8    29W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   1  Tesla K80           On   | 00000000:05:00.0 Off |                    0 |
| N/A   57C    P0    87W / 149W |     73MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   2  Tesla K80           On   | 00000000:84:00.0 Off |                    0 |
| N/A   45C    P0    74W / 149W |    517MiB / 11441MiB |     45%      Default |
+-------------------------------+----------------------+----------------------+
|   3  Tesla K80           On   | 00000000:85:00.0 Off |                    0 |
| N/A   64C    P0    88W / 149W |     73MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    1    168221      C   julia                                         62MiB |
|    2    165867      C   julia                                        506MiB |
|    3    168423      C   julia                                         62MiB |
+-----------------------------------------------------------------------------+
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
bp_deepsets
standard
500
2
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
4
0
0
Loading AR2 model
load data
 52.238293 seconds (195.18 M allocations: 9.407 GiB, 4.93% gc time)
Nbr training obs 100000, nbr parameters 10222, obs/parameters 9.78
0
Starting training
Epoch 1, current loss (training) 0.1334, current loss (val) 0.1490
Epoch 2, current loss (training) 0.0659, current loss (val) 0.0668
Epoch 3, current loss (training) 0.0369, current loss (val) 0.0401
Epoch 4, current loss (training) 0.0312, current loss (val) 0.0346
Epoch 5, current loss (training) 0.0298, current loss (val) 0.0323
Epoch 6, current loss (training) 0.0256, current loss (val) 0.0275
Epoch 7, current loss (training) 0.0462, current loss (val) 0.0716
Epoch 8, current loss (training) 0.0461, current loss (val) 0.0539
Epoch 9, current loss (training) 0.0536, current loss (val) 0.0624
Epoch 10, current loss (training) 0.0249, current loss (val) 0.0286
Epoch 11, current loss (training) 0.0226, current loss (val) 0.0259
Epoch 12, current loss (training) 0.0244, current loss (val) 0.0286
Epoch 13, current loss (training) 0.0221, current loss (val) 0.0231
Epoch 14, current loss (training) 0.0211, current loss (val) 0.0216
Epoch 15, current loss (training) 0.0196, current loss (val) 0.0211
Epoch 16, current loss (training) 0.0240, current loss (val) 0.0256
Epoch 17, current loss (training) 0.0278, current loss (val) 0.0279
Epoch 18, current loss (training) 0.0212, current loss (val) 0.0222
Epoch 19, current loss (training) 0.0229, current loss (val) 0.0227
Epoch 20, current loss (training) 0.0201, current loss (val) 0.0205
Epoch 21, current loss (training) 0.0185, current loss (val) 0.0192
Epoch 22, current loss (training) 0.0181, current loss (val) 0.0192
Epoch 23, current loss (training) 0.0199, current loss (val) 0.0203
Epoch 24, current loss (training) 0.0200, current loss (val) 0.0200
Epoch 25, current loss (training) 0.0184, current loss (val) 0.0192
Epoch 26, current loss (training) 0.0191, current loss (val) 0.0197
Epoch 27, current loss (training) 0.0201, current loss (val) 0.0204
Epoch 28, current loss (training) 0.0188, current loss (val) 0.0199
Epoch 29, current loss (training) 0.0189, current loss (val) 0.0189
Epoch 30, current loss (training) 0.0177, current loss (val) 0.0180
Epoch 31, current loss (training) 0.0180, current loss (val) 0.0178
Epoch 32, current loss (training) 0.0190, current loss (val) 0.0190
Epoch 33, current loss (training) 0.0171, current loss (val) 0.0174
Epoch 34, current loss (training) 0.0172, current loss (val) 0.0180
Epoch 35, current loss (training) 0.0170, current loss (val) 0.0170
Epoch 36, current loss (training) 0.0169, current loss (val) 0.0169
Epoch 37, current loss (training) 0.0170, current loss (val) 0.0175
Epoch 38, current loss (training) 0.0171, current loss (val) 0.0181
Epoch 39, current loss (training) 0.0166, current loss (val) 0.0167
Epoch 40, current loss (training) 0.0197, current loss (val) 0.0205
Epoch 41, current loss (training) 0.0169, current loss (val) 0.0177
Epoch 42, current loss (training) 0.0173, current loss (val) 0.0177
Epoch 43, current loss (training) 0.0185, current loss (val) 0.0184
Epoch 44, current loss (training) 0.0168, current loss (val) 0.0170
Epoch 45, current loss (training) 0.0176, current loss (val) 0.0174
Epoch 46, current loss (training) 0.0169, current loss (val) 0.0164
Epoch 47, current loss (training) 0.0190, current loss (val) 0.0187
Epoch 48, current loss (training) 0.0168, current loss (val) 0.0172
Epoch 49, current loss (training) 0.0193, current loss (val) 0.0191
Epoch 50, current loss (training) 0.0159, current loss (val) 0.0165
Epoch 51, current loss (training) 0.0158, current loss (val) 0.0169
Epoch 52, current loss (training) 0.0166, current loss (val) 0.0169
Epoch 53, current loss (training) 0.0161, current loss (val) 0.0167
Epoch 54, current loss (training) 0.0168, current loss (val) 0.0165
Epoch 55, current loss (training) 0.0165, current loss (val) 0.0167
Epoch 56, current loss (training) 0.0161, current loss (val) 0.0168
Epoch 57, current loss (training) 0.0156, current loss (val) 0.0162
Epoch 58, current loss (training) 0.0173, current loss (val) 0.0179
Epoch 59, current loss (training) 0.0165, current loss (val) 0.0165
Epoch 60, current loss (training) 0.0159, current loss (val) 0.0168
Epoch 61, current loss (training) 0.0154, current loss (val) 0.0160
Epoch 62, current loss (training) 0.0153, current loss (val) 0.0160
Epoch 63, current loss (training) 0.0159, current loss (val) 0.0164
Epoch 64, current loss (training) 0.0165, current loss (val) 0.0166
Epoch 65, current loss (training) 0.0162, current loss (val) 0.0161
Epoch 66, current loss (training) 0.0168, current loss (val) 0.0177
Epoch 67, current loss (training) 0.0162, current loss (val) 0.0163
Epoch 68, current loss (training) 0.0157, current loss (val) 0.0162
Epoch 69, current loss (training) 0.0154, current loss (val) 0.0160
Epoch 70, current loss (training) 0.0161, current loss (val) 0.0162
Epoch 71, current loss (training) 0.0158, current loss (val) 0.0162
Epoch 72, current loss (training) 0.0162, current loss (val) 0.0167
Epoch 73, current loss (training) 0.0162, current loss (val) 0.0167
Epoch 74, current loss (training) 0.0163, current loss (val) 0.0167
Epoch 75, current loss (training) 0.0169, current loss (val) 0.0176
Epoch 76, current loss (training) 0.0160, current loss (val) 0.0160
Epoch 77, current loss (training) 0.0154, current loss (val) 0.0158
Epoch 78, current loss (training) 0.0167, current loss (val) 0.0169
Epoch 79, current loss (training) 0.0159, current loss (val) 0.0163
Epoch 80, current loss (training) 0.0160, current loss (val) 0.0161
Epoch 81, current loss (training) 0.0147, current loss (val) 0.0158
Epoch 82, current loss (training) 0.0156, current loss (val) 0.0162
Epoch 83, current loss (training) 0.0160, current loss (val) 0.0164
Epoch 84, current loss (training) 0.0160, current loss (val) 0.0161
Epoch 85, current loss (training) 0.0160, current loss (val) 0.0160
Epoch 86, current loss (training) 0.0147, current loss (val) 0.0155
Epoch 87, current loss (training) 0.0155, current loss (val) 0.0156
Epoch 88, current loss (training) 0.0151, current loss (val) 0.0156
Epoch 89, current loss (training) 0.0161, current loss (val) 0.0163
Epoch 90, current loss (training) 0.0160, current loss (val) 0.0160
Epoch 91, current loss (training) 0.0163, current loss (val) 0.0166
Epoch 92, current loss (training) 0.0156, current loss (val) 0.0163
Epoch 93, current loss (training) 0.0152, current loss (val) 0.0154
Epoch 94, current loss (training) 0.0166, current loss (val) 0.0169
Epoch 95, current loss (training) 0.0159, current loss (val) 0.0165
Epoch 96, current loss (training) 0.0151, current loss (val) 0.0156
Epoch 97, current loss (training) 0.0163, current loss (val) 0.0161
Epoch 98, current loss (training) 0.0159, current loss (val) 0.0161
Epoch 99, current loss (training) 0.0158, current loss (val) 0.0162
Epoch 100, current loss (training) 0.0155, current loss (val) 0.0160
Epoch 101, current loss (training) 0.0153, current loss (val) 0.0160
Epoch 102, current loss (training) 0.0158, current loss (val) 0.0160
Epoch 103, current loss (training) 0.0160, current loss (val) 0.0158
Epoch 104, current loss (training) 0.0160, current loss (val) 0.0160
Epoch 105, current loss (training) 0.0163, current loss (val) 0.0160
Epoch 106, current loss (training) 0.0153, current loss (val) 0.0158
Epoch 107, current loss (training) 0.0155, current loss (val) 0.0163
Epoch 108, current loss (training) 0.0153, current loss (val) 0.0158
Epoch 109, current loss (training) 0.0152, current loss (val) 0.0158
Epoch 110, current loss (training) 0.0146, current loss (val) 0.0156
Epoch 111, current loss (training) 0.0154, current loss (val) 0.0163
Epoch 112, current loss (training) 0.0151, current loss (val) 0.0160
Epoch 113, current loss (training) 0.0151, current loss (val) 0.0159
Epoch 114, current loss (training) 0.0169, current loss (val) 0.0169
Epoch 115, current loss (training) 0.0147, current loss (val) 0.0156
Epoch 116, current loss (training) 0.0154, current loss (val) 0.0154
Epoch 117, current loss (training) 0.0153, current loss (val) 0.0157
Epoch 118, current loss (training) 0.0155, current loss (val) 0.0160
Epoch 119, current loss (training) 0.0148, current loss (val) 0.0156
