Fri Nov  9 12:18:47 2018       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 396.44                 Driver Version: 396.44                    |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla K80           On   | 00000000:04:00.0 Off |                    0 |
| N/A   39C    P0    70W / 149W |     73MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   1  Tesla K80           On   | 00000000:05:00.0 Off |                    0 |
| N/A   63C    P0   130W / 149W |   7921MiB / 11441MiB |     82%      Default |
+-------------------------------+----------------------+----------------------+
|   2  Tesla K80           On   | 00000000:84:00.0 Off |                    0 |
| N/A   23C    P8    26W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   3  Tesla K80           On   | 00000000:85:00.0 Off |                    0 |
| N/A   30C    P8    29W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     86438      C   julia                                         62MiB |
|    1     86201      C   julia                                       7910MiB |
+-----------------------------------------------------------------------------+
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
bp_deepsets
standard
500
3
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
4
-1
0
Loading AR2 model
load data
 52.579164 seconds (195.18 M allocations: 9.175 GiB, 4.87% gc time)
Nbr training obs 10000, nbr parameters 10222, obs/parameters 0.98
0
Starting training
Epoch 1, current loss (training) 0.7306, current loss (val) 1.0967
Epoch 2, current loss (training) 0.3047, current loss (val) 0.3542
Epoch 3, current loss (training) 0.3967, current loss (val) 0.3541
Epoch 4, current loss (training) 0.2231, current loss (val) 0.2611
Epoch 5, current loss (training) 0.1978, current loss (val) 0.2242
Epoch 6, current loss (training) 0.1832, current loss (val) 0.2494
Epoch 7, current loss (training) 0.2611, current loss (val) 0.5403
Epoch 8, current loss (training) 0.7156, current loss (val) 0.5671
Epoch 9, current loss (training) 0.4864, current loss (val) 0.4825
Epoch 10, current loss (training) 0.2842, current loss (val) 0.7785
Epoch 11, current loss (training) 0.3799, current loss (val) 0.3840
Epoch 12, current loss (training) 0.2187, current loss (val) 0.3836
Epoch 13, current loss (training) 0.1703, current loss (val) 0.3831
Epoch 14, current loss (training) 0.2119, current loss (val) 0.3688
Epoch 15, current loss (training) 0.8782, current loss (val) 0.6626
Epoch 16, current loss (training) 0.1196, current loss (val) 0.1805
Epoch 17, current loss (training) 0.0879, current loss (val) 0.1297
Epoch 18, current loss (training) 0.4048, current loss (val) 0.3251
Epoch 19, current loss (training) 0.1473, current loss (val) 0.3427
Epoch 20, current loss (training) 0.1731, current loss (val) 0.3161
Epoch 21, current loss (training) 0.1100, current loss (val) 0.1310
Epoch 22, current loss (training) 0.1355, current loss (val) 0.1294
Epoch 23, current loss (training) 0.0659, current loss (val) 0.0785
Epoch 24, current loss (training) 0.1179, current loss (val) 0.1228
Epoch 25, current loss (training) 0.1486, current loss (val) 0.1230
Epoch 26, current loss (training) 0.1051, current loss (val) 0.1316
Epoch 27, current loss (training) 0.1814, current loss (val) 0.1388
Epoch 28, current loss (training) 0.0658, current loss (val) 0.1087
Epoch 29, current loss (training) 1.4537, current loss (val) 0.9960
Epoch 30, current loss (training) 0.1182, current loss (val) 0.1389
Epoch 31, current loss (training) 0.0714, current loss (val) 0.0870
Epoch 32, current loss (training) 0.1111, current loss (val) 0.1616
Epoch 33, current loss (training) 0.2229, current loss (val) 0.4193
Epoch 34, current loss (training) 0.0831, current loss (val) 0.1005
Epoch 35, current loss (training) 0.0490, current loss (val) 0.0597
Epoch 36, current loss (training) 0.0595, current loss (val) 0.0813
Epoch 37, current loss (training) 0.0438, current loss (val) 0.0607
Epoch 38, current loss (training) 0.0375, current loss (val) 0.0490
Epoch 39, current loss (training) 0.0384, current loss (val) 0.0550
Epoch 40, current loss (training) 0.0349, current loss (val) 0.0466
Epoch 41, current loss (training) 0.0350, current loss (val) 0.0442
Epoch 42, current loss (training) 0.0329, current loss (val) 0.0377
Epoch 43, current loss (training) 0.0341, current loss (val) 0.0404
Epoch 44, current loss (training) 0.0318, current loss (val) 0.0406
Epoch 45, current loss (training) 0.0310, current loss (val) 0.0381
Epoch 46, current loss (training) 0.0305, current loss (val) 0.0386
Epoch 47, current loss (training) 0.0337, current loss (val) 0.0375
Epoch 48, current loss (training) 0.0309, current loss (val) 0.0339
Epoch 49, current loss (training) 0.0435, current loss (val) 0.0437
