Failed to initialize NVML: Driver/library version mismatch
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
mlp
standard
250
1
1
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
1
0
0
Loading AR2 model
Nbr training obs 1000000, nbr parameters 10087, obs/parameters 99.14
0
Starting training
Epoch 1, current loss (training) 0.2510, current loss (val) 0.2591, best loss (val) 0.2591 
Epoch 2, current loss (training) 0.0808, current loss (val) 0.0819, best loss (val) 0.0819 
Epoch 3, current loss (training) 0.0554, current loss (val) 0.0585, best loss (val) 0.0585 
Epoch 4, current loss (training) 0.0424, current loss (val) 0.0421, best loss (val) 0.0421 
Epoch 5, current loss (training) 0.0377, current loss (val) 0.0376, best loss (val) 0.0376 
Epoch 6, current loss (training) 0.0357, current loss (val) 0.0357, best loss (val) 0.0357 
Epoch 7, current loss (training) 0.0342, current loss (val) 0.0368, best loss (val) 0.0357 
Epoch 8, current loss (training) 0.0354, current loss (val) 0.0353, best loss (val) 0.0353 
Epoch 9, current loss (training) 0.0347, current loss (val) 0.0359, best loss (val) 0.0353 
Epoch 10, current loss (training) 0.0374, current loss (val) 0.0378, best loss (val) 0.0353 
Epoch 11, current loss (training) 0.0320, current loss (val) 0.0339, best loss (val) 0.0339 
Epoch 12, current loss (training) 0.0318, current loss (val) 0.0327, best loss (val) 0.0327 
Epoch 13, current loss (training) 0.0322, current loss (val) 0.0333, best loss (val) 0.0327 
Epoch 14, current loss (training) 0.0328, current loss (val) 0.0330, best loss (val) 0.0327 
Epoch 15, current loss (training) 0.0324, current loss (val) 0.0328, best loss (val) 0.0327 
Epoch 16, current loss (training) 0.0323, current loss (val) 0.0331, best loss (val) 0.0327 
Epoch 17, current loss (training) 0.0326, current loss (val) 0.0328, best loss (val) 0.0327 
Epoch 18, current loss (training) 0.0325, current loss (val) 0.0322, best loss (val) 0.0322 
Epoch 19, current loss (training) 0.0336, current loss (val) 0.0341, best loss (val) 0.0322 
Epoch 20, current loss (training) 0.0309, current loss (val) 0.0318, best loss (val) 0.0318 
Epoch 21, current loss (training) 0.0318, current loss (val) 0.0321, best loss (val) 0.0318 
Epoch 22, current loss (training) 0.0321, current loss (val) 0.0322, best loss (val) 0.0318 
Epoch 23, current loss (training) 0.0306, current loss (val) 0.0315, best loss (val) 0.0315 
Epoch 24, current loss (training) 0.0311, current loss (val) 0.0324, best loss (val) 0.0315 
Epoch 25, current loss (training) 0.0307, current loss (val) 0.0312, best loss (val) 0.0312 
Epoch 26, current loss (training) 0.0317, current loss (val) 0.0319, best loss (val) 0.0312 
Epoch 27, current loss (training) 0.0299, current loss (val) 0.0318, best loss (val) 0.0312 
Epoch 28, current loss (training) 0.0315, current loss (val) 0.0320, best loss (val) 0.0312 
Epoch 29, current loss (training) 0.0303, current loss (val) 0.0320, best loss (val) 0.0312 
Epoch 30, current loss (training) 0.0298, current loss (val) 0.0316, best loss (val) 0.0312 
Epoch 31, current loss (training) 0.0313, current loss (val) 0.0315, best loss (val) 0.0312 
Epoch 32, current loss (training) 0.0299, current loss (val) 0.0311, best loss (val) 0.0311 
Epoch 33, current loss (training) 0.0310, current loss (val) 0.0317, best loss (val) 0.0311 
Epoch 34, current loss (training) 0.0294, current loss (val) 0.0312, best loss (val) 0.0311 
Epoch 35, current loss (training) 0.0300, current loss (val) 0.0315, best loss (val) 0.0311 
Epoch 36, current loss (training) 0.0308, current loss (val) 0.0317, best loss (val) 0.0311 
Epoch 37, current loss (training) 0.0303, current loss (val) 0.0314, best loss (val) 0.0311 
Epoch 38, current loss (training) 0.0296, current loss (val) 0.0312, best loss (val) 0.0311 
Epoch 39, current loss (training) 0.0291, current loss (val) 0.0313, best loss (val) 0.0311 
Epoch 40, current loss (training) 0.0295, current loss (val) 0.0318, best loss (val) 0.0311 
Epoch 41, current loss (training) 0.0296, current loss (val) 0.0308, best loss (val) 0.0308 
Epoch 42, current loss (training) 0.0301, current loss (val) 0.0313, best loss (val) 0.0308 
Epoch 43, current loss (training) 0.0301, current loss (val) 0.0312, best loss (val) 0.0308 
Epoch 44, current loss (training) 0.0297, current loss (val) 0.0311, best loss (val) 0.0308 
Epoch 45, current loss (training) 0.0308, current loss (val) 0.0309, best loss (val) 0.0308 
Epoch 46, current loss (training) 0.0301, current loss (val) 0.0307, best loss (val) 0.0307 
Epoch 47, current loss (training) 0.0290, current loss (val) 0.0312, best loss (val) 0.0307 
Epoch 48, current loss (training) 0.0304, current loss (val) 0.0313, best loss (val) 0.0307 
Epoch 49, current loss (training) 0.0299, current loss (val) 0.0309, best loss (val) 0.0307 
Epoch 50, current loss (training) 0.0303, current loss (val) 0.0312, best loss (val) 0.0307 
Epoch 51, current loss (training) 0.0299, current loss (val) 0.0312, best loss (val) 0.0307 
Epoch 52, current loss (training) 0.0298, current loss (val) 0.0309, best loss (val) 0.0307 
Epoch 53, current loss (training) 0.0321, current loss (val) 0.0322, best loss (val) 0.0307 
Epoch 54, current loss (training) 0.0296, current loss (val) 0.0309, best loss (val) 0.0307 
Epoch 55, current loss (training) 0.0301, current loss (val) 0.0314, best loss (val) 0.0307 
Epoch 56, current loss (training) 0.0305, current loss (val) 0.0312, best loss (val) 0.0307 
Epoch 57, current loss (training) 0.0301, current loss (val) 0.0310, best loss (val) 0.0307 
Epoch 58, current loss (training) 0.0304, current loss (val) 0.0312, best loss (val) 0.0307 
Epoch 59, current loss (training) 0.0295, current loss (val) 0.0311, best loss (val) 0.0307 
Epoch 60, current loss (training) 0.0306, current loss (val) 0.0320, best loss (val) 0.0307 
Epoch 61, current loss (training) 0.0292, current loss (val) 0.0309, best loss (val) 0.0307 
Epoch 62, current loss (training) 0.0311, current loss (val) 0.0310, best loss (val) 0.0307 
Epoch 63, current loss (training) 0.0300, current loss (val) 0.0309, best loss (val) 0.0307 
Epoch 64, current loss (training) 0.0299, current loss (val) 0.0313, best loss (val) 0.0307 
Epoch 65, current loss (training) 0.0312, current loss (val) 0.0314, best loss (val) 0.0307 
Epoch 66, current loss (training) 0.0295, current loss (val) 0.0308, best loss (val) 0.0307 
Epoch 67, current loss (training) 0.0310, current loss (val) 0.0317, best loss (val) 0.0307 
Epoch 68, current loss (training) 0.0311, current loss (val) 0.0323, best loss (val) 0.0307 
Epoch 69, current loss (training) 0.0302, current loss (val) 0.0310, best loss (val) 0.0307 
Epoch 70, current loss (training) 0.0304, current loss (val) 0.0313, best loss (val) 0.0307 
Epoch 71, current loss (training) 0.0306, current loss (val) 0.0317, best loss (val) 0.0307 
Epoch 72, current loss (training) 0.0303, current loss (val) 0.0316, best loss (val) 0.0307 
Epoch 73, current loss (training) 0.0288, current loss (val) 0.0313, best loss (val) 0.0307 
Epoch 74, current loss (training) 0.0298, current loss (val) 0.0312, best loss (val) 0.0307 
Epoch 75, current loss (training) 0.0298, current loss (val) 0.0312, best loss (val) 0.0307 
Epoch 76, current loss (training) 0.0301, current loss (val) 0.0312, best loss (val) 0.0307 
Epoch 77, current loss (training) 0.0298, current loss (val) 0.0315, best loss (val) 0.0307 
Epoch 78, current loss (training) 0.0294, current loss (val) 0.0311, best loss (val) 0.0307 
Epoch 79, current loss (training) 0.0298, current loss (val) 0.0307, best loss (val) 0.0307 
Epoch 80, current loss (training) 0.0315, current loss (val) 0.0332, best loss (val) 0.0307 
Epoch 81, current loss (training) 0.0338, current loss (val) 0.0344, best loss (val) 0.0307 
Epoch 82, current loss (training) 0.0298, current loss (val) 0.0311, best loss (val) 0.0307 
Epoch 83, current loss (training) 0.0297, current loss (val) 0.0310, best loss (val) 0.0307 
Epoch 84, current loss (training) 0.0300, current loss (val) 0.0310, best loss (val) 0.0307 
Epoch 85, current loss (training) 0.0296, current loss (val) 0.0312, best loss (val) 0.0307 
Epoch 86, current loss (training) 0.0301, current loss (val) 0.0309, best loss (val) 0.0307 
Epoch 87, current loss (training) 0.0291, current loss (val) 0.0309, best loss (val) 0.0307 
Epoch 88, current loss (training) 0.0292, current loss (val) 0.0306, best loss (val) 0.0306 
Epoch 89, current loss (training) 0.0298, current loss (val) 0.0310, best loss (val) 0.0306 
