Failed to initialize NVML: Driver/library version mismatch
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
pen2
standard
250
3
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
1
0
0
Loading AR2 model
load data
 37.269957 seconds (195.20 M allocations: 9.176 GiB, 7.29% gc time)
Nbr training obs 10000, nbr parameters 10222, obs/parameters 0.98
0
Starting training
Epoch 1, current loss (training) 0.7306, current loss (val) 1.0967, best loss (val) 1.0967 
Epoch 2, current loss (training) 0.3047, current loss (val) 0.3542, best loss (val) 0.3542 
Epoch 3, current loss (training) 0.3967, current loss (val) 0.3541, best loss (val) 0.3541 
Epoch 4, current loss (training) 0.2231, current loss (val) 0.2611, best loss (val) 0.2611 
Epoch 5, current loss (training) 0.1978, current loss (val) 0.2242, best loss (val) 0.2242 
Epoch 6, current loss (training) 0.1832, current loss (val) 0.2494, best loss (val) 0.2242 
Epoch 7, current loss (training) 0.2611, current loss (val) 0.5403, best loss (val) 0.2242 
Epoch 8, current loss (training) 0.7156, current loss (val) 0.5671, best loss (val) 0.2242 
Epoch 9, current loss (training) 0.4864, current loss (val) 0.4825, best loss (val) 0.2242 
Epoch 10, current loss (training) 0.2842, current loss (val) 0.7785, best loss (val) 0.2242 
Epoch 11, current loss (training) 0.3799, current loss (val) 0.3840, best loss (val) 0.2242 
Epoch 12, current loss (training) 0.2187, current loss (val) 0.3836, best loss (val) 0.2242 
Epoch 13, current loss (training) 0.1703, current loss (val) 0.3831, best loss (val) 0.2242 
Epoch 14, current loss (training) 0.2119, current loss (val) 0.3688, best loss (val) 0.2242 
Epoch 15, current loss (training) 0.8782, current loss (val) 0.6626, best loss (val) 0.2242 
