Mon Nov 12 13:38:30 2018       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 396.44                 Driver Version: 396.44                    |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla K80           On   | 00000000:04:00.0 Off |                    0 |
| N/A   23C    P8    27W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   1  Tesla K80           On   | 00000000:05:00.0 Off |                    0 |
| N/A   29C    P8    31W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   2  Tesla K80           On   | 00000000:84:00.0 Off |                    0 |
| N/A   23C    P8    25W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   3  Tesla K80           On   | 00000000:85:00.0 Off |                    0 |
| N/A   29C    P8    30W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
bp_deepsets
standard
500
1
1
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
4
-1
0
Loading AR2 model
load data
 56.092969 seconds (194.96 M allocations: 11.329 GiB, 4.67% gc time)
Nbr training obs 1000000, nbr parameters 10222, obs/parameters 97.83
0
Starting training
Epoch 1, current loss (training) 0.0233, current loss (val) 0.0241
Epoch 2, current loss (training) 0.0207, current loss (val) 0.0227
Epoch 3, current loss (training) 0.0199, current loss (val) 0.0197
Epoch 4, current loss (training) 0.0203, current loss (val) 0.0206
Epoch 5, current loss (training) 0.0184, current loss (val) 0.0175
Epoch 6, current loss (training) 0.0160, current loss (val) 0.0165
Epoch 7, current loss (training) 0.0157, current loss (val) 0.0166
Epoch 8, current loss (training) 0.0157, current loss (val) 0.0157
Epoch 9, current loss (training) 0.0168, current loss (val) 0.0168
Epoch 10, current loss (training) 0.0158, current loss (val) 0.0162
Epoch 11, current loss (training) 0.0155, current loss (val) 0.0164
Epoch 12, current loss (training) 0.0160, current loss (val) 0.0162
Epoch 13, current loss (training) 0.0164, current loss (val) 0.0159
Epoch 14, current loss (training) 0.0154, current loss (val) 0.0154
Epoch 15, current loss (training) 0.0156, current loss (val) 0.0158
Epoch 16, current loss (training) 0.0154, current loss (val) 0.0160
Epoch 17, current loss (training) 0.0153, current loss (val) 0.0152
Epoch 18, current loss (training) 0.0157, current loss (val) 0.0153
Epoch 19, current loss (training) 0.0155, current loss (val) 0.0155
Epoch 20, current loss (training) 0.0150, current loss (val) 0.0155
Epoch 21, current loss (training) 0.0150, current loss (val) 0.0153
Epoch 22, current loss (training) 0.0152, current loss (val) 0.0152
Epoch 23, current loss (training) 0.0150, current loss (val) 0.0153
Epoch 24, current loss (training) 0.0151, current loss (val) 0.0154
Epoch 25, current loss (training) 0.0151, current loss (val) 0.0151
Epoch 26, current loss (training) 0.0152, current loss (val) 0.0150
Epoch 27, current loss (training) 0.0159, current loss (val) 0.0165
Epoch 28, current loss (training) 0.0154, current loss (val) 0.0153
Epoch 29, current loss (training) 0.0148, current loss (val) 0.0151
Epoch 30, current loss (training) 0.0150, current loss (val) 0.0153
Epoch 31, current loss (training) 0.0154, current loss (val) 0.0155
Epoch 32, current loss (training) 0.0147, current loss (val) 0.0151
Epoch 33, current loss (training) 0.0150, current loss (val) 0.0153
Epoch 34, current loss (training) 0.0149, current loss (val) 0.0152
Epoch 35, current loss (training) 0.0150, current loss (val) 0.0151
