Tue Oct 30 13:13:35 2018       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 396.44                 Driver Version: 396.44                    |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla K80           On   | 00000000:04:00.0 Off |                    0 |
| N/A   41C    P0    68W / 149W |   2951MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   1  Tesla K80           On   | 00000000:05:00.0 Off |                    0 |
| N/A   40C    P8    31W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   2  Tesla K80           On   | 00000000:84:00.0 Off |                    0 |
| N/A   23C    P8    26W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   3  Tesla K80           On   | 00000000:85:00.0 Off |                    0 |
| N/A   30C    P8    29W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|    0     25640      C   julia                                       2940MiB |
+-----------------------------------------------------------------------------+
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
bp_deepsets
standard
500
4
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
4
-1
0
Loading MA2 model
load data
 38.801878 seconds (189.78 M allocations: 14.404 GiB, 6.61% gc time)
Nbr training obs 1000, nbr parameters 10922, obs/parameters 0.09
0
  1.398287 seconds (2.95 M allocations: 154.754 MiB, 4.16% gc time)
  0.441046 seconds (1.05 M allocations: 55.095 MiB, 3.18% gc time)
  3.212989 seconds (6.45 M allocations: 341.953 MiB, 3.71% gc time)
  1.259452 seconds (86.72 k allocations: 6.033 MiB, 21.08% gc time)
Starting training
Epoch 1, current loss (training) 0.8723, current loss (val) 0.8096
Epoch 2, current loss (training) 0.8330, current loss (val) 0.7834
Epoch 3, current loss (training) 0.7626, current loss (val) 0.7493
Epoch 4, current loss (training) 0.7472, current loss (val) 0.7110
Epoch 5, current loss (training) 0.6900, current loss (val) 0.6728
Epoch 6, current loss (training) 0.6684, current loss (val) 0.6333
Epoch 7, current loss (training) 0.6159, current loss (val) 0.5926
Epoch 8, current loss (training) 0.5691, current loss (val) 0.5510
Epoch 9, current loss (training) 0.5346, current loss (val) 0.5084
Epoch 10, current loss (training) 0.4817, current loss (val) 0.4663
Epoch 11, current loss (training) 0.4419, current loss (val) 0.4244
Epoch 12, current loss (training) 0.3970, current loss (val) 0.3849
Epoch 13, current loss (training) 0.3573, current loss (val) 0.3497
Epoch 14, current loss (training) 0.3253, current loss (val) 0.3202
Epoch 15, current loss (training) 0.3027, current loss (val) 0.2953
Epoch 16, current loss (training) 0.2839, current loss (val) 0.2741
Epoch 17, current loss (training) 0.2594, current loss (val) 0.2553
Epoch 18, current loss (training) 0.2475, current loss (val) 0.2387
Epoch 19, current loss (training) 0.2266, current loss (val) 0.2241
Epoch 20, current loss (training) 0.2083, current loss (val) 0.2115
Epoch 21, current loss (training) 0.1991, current loss (val) 0.2008
Epoch 22, current loss (training) 0.1900, current loss (val) 0.1917
Epoch 23, current loss (training) 0.1826, current loss (val) 0.1840
Epoch 24, current loss (training) 0.1738, current loss (val) 0.1773
Epoch 25, current loss (training) 0.1661, current loss (val) 0.1711
Epoch 26, current loss (training) 0.1668, current loss (val) 0.1657
Epoch 27, current loss (training) 0.1581, current loss (val) 0.1606
Epoch 28, current loss (training) 0.1531, current loss (val) 0.1558
Epoch 29, current loss (training) 0.1463, current loss (val) 0.1511
Epoch 30, current loss (training) 0.1440, current loss (val) 0.1464
Epoch 31, current loss (training) 0.1408, current loss (val) 0.1418
Epoch 32, current loss (training) 0.1349, current loss (val) 0.1376
Epoch 33, current loss (training) 0.1272, current loss (val) 0.1324
