Thu Nov  8 11:07:45 2018       
+-----------------------------------------------------------------------------+
| NVIDIA-SMI 396.44                 Driver Version: 396.44                    |
|-------------------------------+----------------------+----------------------+
| GPU  Name        Persistence-M| Bus-Id        Disp.A | Volatile Uncorr. ECC |
| Fan  Temp  Perf  Pwr:Usage/Cap|         Memory-Usage | GPU-Util  Compute M. |
|===============================+======================+======================|
|   0  Tesla K80           On   | 00000000:04:00.0 Off |                    0 |
| N/A   24C    P8    26W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   1  Tesla K80           On   | 00000000:05:00.0 Off |                    0 |
| N/A   28C    P8    30W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   2  Tesla K80           On   | 00000000:84:00.0 Off |                    0 |
| N/A   23C    P8    26W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
|   3  Tesla K80           On   | 00000000:85:00.0 Off |                    0 |
| N/A   30C    P8    29W / 149W |      0MiB / 11441MiB |      0%      Default |
+-------------------------------+----------------------+----------------------+
                                                                               
+-----------------------------------------------------------------------------+
| Processes:                                                       GPU Memory |
|  GPU       PID   Type   Process name                             Usage      |
|=============================================================================|
|  No running processes found                                                 |
+-----------------------------------------------------------------------------+
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
bp_deepsets
standard
500
1
0
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
4
-1
0
Loading MA2 model
load data
 44.080085 seconds (189.57 M allocations: 21.762 GiB, 5.44% gc time)
Nbr training obs 1000000, nbr parameters 11422, obs/parameters 87.55
0
Starting training
Epoch 1, current loss (training) 0.0406, current loss (val) 0.0415
Epoch 2, current loss (training) 0.0341, current loss (val) 0.0345
Epoch 3, current loss (training) 0.0295, current loss (val) 0.0299
Epoch 4, current loss (training) 0.0279, current loss (val) 0.0278
Epoch 5, current loss (training) 0.0275, current loss (val) 0.0281
Epoch 6, current loss (training) 0.0252, current loss (val) 0.0254
Epoch 7, current loss (training) 0.0246, current loss (val) 0.0250
Epoch 8, current loss (training) 0.0240, current loss (val) 0.0244
Epoch 9, current loss (training) 0.0253, current loss (val) 0.0250
Epoch 10, current loss (training) 0.0264, current loss (val) 0.0263
Epoch 11, current loss (training) 0.0238, current loss (val) 0.0241
Epoch 12, current loss (training) 0.0231, current loss (val) 0.0233
Epoch 13, current loss (training) 0.0230, current loss (val) 0.0233
Epoch 14, current loss (training) 0.0227, current loss (val) 0.0230
Epoch 15, current loss (training) 0.0231, current loss (val) 0.0232
Epoch 16, current loss (training) 0.0224, current loss (val) 0.0229
Epoch 17, current loss (training) 0.0226, current loss (val) 0.0229
Epoch 18, current loss (training) 0.0231, current loss (val) 0.0227
Epoch 19, current loss (training) 0.0225, current loss (val) 0.0230
Epoch 20, current loss (training) 0.0232, current loss (val) 0.0232
Epoch 21, current loss (training) 0.0213, current loss (val) 0.0222
Epoch 22, current loss (training) 0.0220, current loss (val) 0.0222
Epoch 23, current loss (training) 0.0223, current loss (val) 0.0227
Epoch 24, current loss (training) 0.0218, current loss (val) 0.0223
Epoch 25, current loss (training) 0.0222, current loss (val) 0.0226
Epoch 26, current loss (training) 0.0223, current loss (val) 0.0227
Epoch 27, current loss (training) 0.0222, current loss (val) 0.0223
Epoch 28, current loss (training) 0.0210, current loss (val) 0.0223
Epoch 29, current loss (training) 0.0231, current loss (val) 0.0237
Epoch 30, current loss (training) 0.0216, current loss (val) 0.0222
Epoch 31, current loss (training) 0.0220, current loss (val) 0.0222
Epoch 32, current loss (training) 0.0209, current loss (val) 0.0220
Epoch 33, current loss (training) 0.0220, current loss (val) 0.0222
Epoch 34, current loss (training) 0.0219, current loss (val) 0.0226
Epoch 35, current loss (training) 0.0209, current loss (val) 0.0219
