/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
250
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
0
-1
-1
Loading alpha-stable model
Nbr training obs 10000, nbr parameters 115654, obs/parameters 0.09
Starting training
Epoch 1, current loss (training) 6.2003, current loss (val) 5.3947, best loss (val) 5.3947 
Epoch 2, current loss (training) 3.9800, current loss (val) 3.3840, best loss (val) 3.3840 
Epoch 3, current loss (training) 1.9018, current loss (val) 2.2482, best loss (val) 2.2482 
Epoch 4, current loss (training) 2.1898, current loss (val) 2.0005, best loss (val) 2.0005 
Epoch 5, current loss (training) 1.3508, current loss (val) 1.8270, best loss (val) 1.8270 
Epoch 6, current loss (training) 1.0046, current loss (val) 1.5775, best loss (val) 1.5775 
Epoch 7, current loss (training) 1.4076, current loss (val) 1.4597, best loss (val) 1.4597 
Epoch 8, current loss (training) 1.1877, current loss (val) 1.3295, best loss (val) 1.3295 
Epoch 9, current loss (training) 0.6329, current loss (val) 1.2090, best loss (val) 1.2090 
Epoch 10, current loss (training) 0.6005, current loss (val) 1.1902, best loss (val) 1.1902 
Epoch 11, current loss (training) 0.6039, current loss (val) 1.1494, best loss (val) 1.1494 
Epoch 12, current loss (training) 0.7030, current loss (val) 1.1723, best loss (val) 1.1494 
Epoch 13, current loss (training) 0.5086, current loss (val) 1.0617, best loss (val) 1.0617 
Epoch 14, current loss (training) 0.4849, current loss (val) 1.0211, best loss (val) 1.0211 
Epoch 15, current loss (training) 0.4116, current loss (val) 1.0808, best loss (val) 1.0211 
Epoch 16, current loss (training) 0.3558, current loss (val) 0.9997, best loss (val) 0.9997 
Epoch 17, current loss (training) 0.3502, current loss (val) 1.0027, best loss (val) 0.9997 
Epoch 18, current loss (training) 0.3441, current loss (val) 0.9931, best loss (val) 0.9931 
Epoch 19, current loss (training) 0.3082, current loss (val) 0.9766, best loss (val) 0.9766 
Epoch 20, current loss (training) 0.2828, current loss (val) 0.9808, best loss (val) 0.9766 
Epoch 21, current loss (training) 0.2841, current loss (val) 0.9790, best loss (val) 0.9766 
Epoch 22, current loss (training) 0.2534, current loss (val) 0.9736, best loss (val) 0.9736 
Epoch 23, current loss (training) 0.2409, current loss (val) 0.9666, best loss (val) 0.9666 
Epoch 24, current loss (training) 0.2419, current loss (val) 0.9725, best loss (val) 0.9666 
Epoch 25, current loss (training) 0.2281, current loss (val) 0.9727, best loss (val) 0.9666 
Epoch 26, current loss (training) 0.2192, current loss (val) 0.9919, best loss (val) 0.9666 
Epoch 27, current loss (training) 0.2009, current loss (val) 0.9737, best loss (val) 0.9666 
Epoch 28, current loss (training) 0.1964, current loss (val) 0.9805, best loss (val) 0.9666 
Epoch 29, current loss (training) 0.1974, current loss (val) 0.9871, best loss (val) 0.9666 
Epoch 30, current loss (training) 0.1848, current loss (val) 0.9826, best loss (val) 0.9666 
Epoch 31, current loss (training) 0.1865, current loss (val) 0.9892, best loss (val) 0.9666 
Epoch 32, current loss (training) 0.1686, current loss (val) 0.9741, best loss (val) 0.9666 
Epoch 33, current loss (training) 0.1650, current loss (val) 0.9963, best loss (val) 0.9666 
Epoch 34, current loss (training) 0.1731, current loss (val) 1.0098, best loss (val) 0.9666 
Epoch 35, current loss (training) 0.1748, current loss (val) 1.0123, best loss (val) 0.9666 
Epoch 36, current loss (training) 0.1467, current loss (val) 0.9906, best loss (val) 0.9666 
Epoch 37, current loss (training) 0.1434, current loss (val) 0.9780, best loss (val) 0.9666 
Epoch 38, current loss (training) 0.1443, current loss (val) 0.9912, best loss (val) 0.9666 
Epoch 39, current loss (training) 0.1417, current loss (val) 0.9987, best loss (val) 0.9666 
Epoch 40, current loss (training) 0.1379, current loss (val) 1.0120, best loss (val) 0.9666 
Epoch 41, current loss (training) 0.1344, current loss (val) 1.0016, best loss (val) 0.9666 
Epoch 42, current loss (training) 0.1268, current loss (val) 1.0066, best loss (val) 0.9666 
Epoch 43, current loss (training) 0.1316, current loss (val) 0.9876, best loss (val) 0.9666 
Epoch 44, current loss (training) 0.1222, current loss (val) 0.9792, best loss (val) 0.9666 
Epoch 45, current loss (training) 0.1476, current loss (val) 1.0213, best loss (val) 0.9666 
Epoch 46, current loss (training) 0.1159, current loss (val) 0.9885, best loss (val) 0.9666 
Epoch 47, current loss (training) 0.1283, current loss (val) 0.9819, best loss (val) 0.9666 
Epoch 48, current loss (training) 0.1156, current loss (val) 0.9927, best loss (val) 0.9666 
Epoch 49, current loss (training) 0.1212, current loss (val) 1.0084, best loss (val) 0.9666 
Epoch 50, current loss (training) 0.1065, current loss (val) 0.9892, best loss (val) 0.9666 
Epoch 51, current loss (training) 0.1122, current loss (val) 0.9989, best loss (val) 0.9666 
