Failed to initialize NVML: Driver/library version mismatch
/home/samwiq/ABC and deep learning project/abc-dl/lunarc
/home/samwiq/ABC and deep learning project/abc-dl
start script
250
check version of Knet
    Status `~/.julia/environments/v1.0/Project.toml`
  [336ed68f] CSV v0.3.1
  [a93c6f00] DataFrames v0.13.1
  [31c24e10] Distributions v0.16.4
  [1902f260] Knet v1.1.0
  [6f286f6a] MultivariateStats v0.6.0 #master (https://github.com/JuliaStats/MultivariateStats.jl.git)
  [2913bbd2] StatsBase v0.25.0
  [4c63d2b9] StatsFuns v0.7.0
build Knet
  Building SpecialFunctions → `~/.julia/packages/SpecialFunctions/KvXoO/deps/build.log`
  Building CodecZlib ───────→ `~/.julia/packages/CodecZlib/wwgbh/deps/build.log`
  Building Knet ────────────→ `~/.julia/packages/Knet/hxjeS/deps/build.log`
test gpu
1
0
0
Loading alpha-stable model
0
Nbr training obs 100000, nbr parameters 23924, obs/parameters 4.18
  1.659141 seconds (3.14 M allocations: 162.866 MiB, 4.25% gc time)
KnetArray{Float32,2}
  0.475701 seconds (1.06 M allocations: 55.670 MiB, 4.79% gc time)
 24.160037 seconds (3.01 M allocations: 521.308 MiB, 18.88% gc time)
  1.688554 seconds (89.33 k allocations: 4.682 MiB, 16.59% gc time)
2
(1002, 100000)
Starting training
Epoch 1, current loss (training) 0.3248, current loss (val) 0.3484, best loss (val) 0.3484 
Epoch 2, current loss (training) 0.2610, current loss (val) 0.2803, best loss (val) 0.2803 
Epoch 3, current loss (training) 0.3506, current loss (val) 0.2924, best loss (val) 0.2803 
Epoch 4, current loss (training) 0.2330, current loss (val) 0.2414, best loss (val) 0.2414 
Epoch 5, current loss (training) 0.2116, current loss (val) 0.2445, best loss (val) 0.2414 
Epoch 6, current loss (training) 0.2686, current loss (val) 0.2383, best loss (val) 0.2383 
Epoch 7, current loss (training) 0.3112, current loss (val) 0.2891, best loss (val) 0.2383 
Epoch 8, current loss (training) 0.9608, current loss (val) 0.3654, best loss (val) 0.2383 
Epoch 9, current loss (training) 0.2513, current loss (val) 0.2451, best loss (val) 0.2383 
Epoch 10, current loss (training) 0.9986, current loss (val) 0.2812, best loss (val) 0.2383 
Epoch 11, current loss (training) 0.3783, current loss (val) 0.2390, best loss (val) 0.2383 
Epoch 12, current loss (training) 0.2389, current loss (val) 0.2362, best loss (val) 0.2362 
Epoch 13, current loss (training) 0.2841, current loss (val) 0.2190, best loss (val) 0.2190 
Epoch 14, current loss (training) 0.3839, current loss (val) 0.2547, best loss (val) 0.2190 
Epoch 15, current loss (training) 0.1906, current loss (val) 0.2201, best loss (val) 0.2190 
Epoch 16, current loss (training) 0.2805, current loss (val) 0.2635, best loss (val) 0.2190 
